Thousand million barrels,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2014,of total,
Ecuador,1.0,0.9,0.9,0.9,1.1,1.1,1.2,1.6,1.5,1.4,1.4,1.5,3.2,3.7,3.5,3.4,3.5,3.7,4.1,4.4,4.6,4.6,5.1,5.1,5.1,4.9,4.5,4.0,6.5,6.3,6.2,7.2,8.4,8.2,8.0,8.0,?,0.5%,
