Thousand million barrels,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2014,of total,
Canada,39.5,40.2,40.3,40.5,40.5,40.9,41.1,41.2,41.5,41.3,40.3,40.1,39.6,39.5,48.1,48.4,48.9,48.8,49.8,181.6,181.5,180.9,180.4,179.9,179.6,180.0,179.4,178.8,176.3,175.0,174.8,174.2,173.7,173.0,172.2,172.2,?,10.1%,
