Thousand million barrels,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2014,of total,
Mexico,47.2,57.0,57.0,57.1,56.4,55.6,54.9,54.1,53.0,52.0,51.3,50.9,51.2,50.8,49.8,48.8,48.5,47.8,21.6,21.5,20.2,18.8,17.2,16.0,14.8,13.7,12.8,12.2,11.9,11.9,11.7,11.4,11.4,11.1,10.8,10.8,?,0.6%,
