Thousand million barrels,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2014,of total,
Colombia,0.6,0.5,0.6,0.6,1.1,1.2,1.7,1.9,2.0,2.0,2.0,1.9,3.2,3.2,3.1,3.0,2.8,2.6,2.5,2.3,2.0,1.8,1.6,1.5,1.5,1.5,1.5,1.5,1.4,1.4,1.9,2.0,2.2,2.4,2.4,2.3,-5.6%,0.1%,
