Thousand million barrels,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2014,of total,
Brazil,1.3,1.5,1.7,1.8,2.0,2.2,2.4,2.6,2.8,2.8,4.5,4.8,5.0,5.0,5.4,6.2,6.7,7.1,7.4,8.2,8.5,8.5,9.8,10.6,11.2,11.8,12.2,12.6,12.8,12.9,14.2,15.0,15.3,15.6,16.2,13.0,-19.7%,0.8%,
